,budget,genre,gross,name,runtime,score,votes,Profit
0,8000000,Adventure,52287414,Stand by Me,89,8.1,299174,44287414
1,6000000,Comedy,70136369,Ferris Bueller's Day Off,103,7.8,264740,64136369
2,15000000,Action,179800601,Top Gun,110,6.9,236909,164800601
3,18500000,Action,85160248,Aliens,137,8.4,540152,66660248
4,9000000,Adventure,18564613,Flight of the Navigator,90,6.9,36636,9564613
5,6000000,Drama,138530565,Platoon,120,8.1,317585,132530565
6,25000000,Adventure,12729917,Labyrinth,101,7.4,102879,-12270083
7,6000000,Drama,8551228,Blue Velvet,120,7.8,146768,2551228
8,9000000,Comedy,40471663,Pretty in Pink,96,6.8,60565,31471663
9,15000000,Drama,40456565,The Fly,96,7.5,129698,25456565
10,8800000,Adventure,174635000,Crocodile Dundee,97,6.5,79465,165835000
11,16000000,Action,5900000,Highlander,116,7.2,104860,-10100000
12,6000000,Comedy,8200000,Lucas,100,6.8,12228,2200000
13,25000000,Action,11100000,Big Trouble in Little China,99,7.3,101678,-13900000
14,15000000,Crime,8620929,Manhunter,120,7.2,54000,-6379071
15,17000000,Drama,6734844,9½ Weeks,117,5.9,31798,-10265156
16,10000000,Action,7433663,Maximum Overdrive,98,5.4,24881,-2566337
17,25000000,Comedy,38747385,Little Shop of Horrors,94,6.9,53327,13747385
18,2700000,Action,3500000,The Wraith,93,5.9,11635,800000
19,35000000,Action,16295774,Howard the Duck,110,4.6,36020,-18704226
20,2000000,Action,13167232,Critters,82,6.0,25517,11167232
21,11000000,Comedy,91258000,Back to School,96,6.6,23120,80258000
22,4700000,Comedy,8025872,The Texas Chainsaw Massacre 2,89,5.6,21253,3325872
23,15000000,Action,42724017,Heartbreak Ridge,130,6.8,32954,27724017
24,25000000,Adventure,109713132,Star Trek IV: The Voyage Home,119,7.3,66366,84713132
25,0,Comedy,40697761,Short Circuit,98,6.6,47068,40697761
26,0,Crime,7153487,The Name of the Rose,130,7.8,86991,7153487
27,0,Action,24159872,Iron Eagle,117,5.3,11304,24159872
28,25000000,Action,79817937,The Golden Child,94,5.9,42997,54817937
29,1900000,Crime,4600000,River's Edge,99,7.1,12862,2700000
30,25000000,Comedy,39246734,¡Three Amigos!,104,6.4,57406,14246734
31,25000000,Action,49042224,Cobra,87,5.7,54851,24042224
32,0,Drama,2003822,Betty Blue,120,7.4,14562,2003822
33,24500000,Adventure,17218023,The Mission,125,7.5,47497,-7281977
34,13800000,Drama,52293982,The Color of Money,119,7.0,62495,38493982
35,0,Action,115103979,The Karate Kid Part II,113,5.9,58370,115103979
36,0,Drama,7177431,The Boy Who Could Fly,114,6.5,4623,7177431
37,6000000,Thriller,5844868,The Hitcher,97,7.3,36191,-155132
38,10000000,Comedy,37499651,The Money Pit,91,6.3,41278,27499651
39,3000000,Horror,19472057,Jason Lives: Friday the 13th Part VI,86,5.9,28310,16472057
40,25000000,Adventure,14302779,The Mosquito Coast,117,6.6,23076,-10697221
41,0,Animation,47483002,An American Tail,80,6.9,41004,47483002
42,4000000,Biography,2826523,Sid and Nancy,112,7.1,25032,-1173477
43,10000000,Action,4711220,King Kong Lives,105,3.8,4401,-5288780
44,4500000,Horror,1261000,From Beyond,86,6.7,16636,-3239000
45,18000000,Comedy,41382841,Peggy Sue Got Married,103,6.3,28529,23382841
46,19000000,Horror,40996665,Poltergeist II: The Other Side,91,5.7,20669,21996665
47,1100000,Comedy,5450815,Troll,82,4.3,7569,4350815
48,0,Action,38500726,Running Scared,107,6.5,9344,38500726
49,0,Comedy,26285544,Wildcats,106,5.9,10239,26285544
50,111000,Biography,609939,Henry: Portrait of a Serial Killer,83,7.0,25367,498939
51,18000000,Adventure,9697739,SpaceCamp,107,5.6,11484,-8302261
52,6400000,Comedy,40084041,Hannah and Her Sisters,107,8.0,56988,33684041
53,14000000,Animation,38600000,The Great Mouse Detective,74,7.2,36539,24600000
54,8500000,Action,16209459,Raw Deal,106,5.5,24851,7709459
55,6000000,Animation,5849647,The Transformers: The Movie,84,7.3,33609,-150353
56,0,Drama,2015882,Rad,91,7.2,4039,2015882
57,5000000,Comedy,591366,Night of the Creeps,88,6.8,16077,-4408634
58,12000000,Horror,4884663,Invaders from Mars,100,5.5,5878,-7115337
59,0,Drama,5839031,Crossroads,99,7.1,11415,5839031
60,6000000,Drama,28607524,Hoosiers,114,7.6,36604,22607524
61,0,Drama,300653,Sacrifice,149,8.1,16571,300653
62,6500000,Crime,2347000,At Close Range,111,7.0,11607,-4153000
63,0,Drama,15448384,Youngblood,110,6.1,10412,15448384
64,0,Action,4662137,"No Retreat, No Surrender",85,5.6,12803,4662137
65,0,Horror,14481606,Psicosis III,93,5.3,10022,14481606
66,20000000,Comedy,25314289,Heartburn,108,6.1,7570,5314289
67,15000000,Adventure,1953732,The Clan of the Cave Bear,98,5.3,5340,-13046268
68,12000000,Action,17768900,The Delta Force,125,5.6,15819,5768900
69,0,Drama,8988731,Deadly Friend,91,5.5,5419,8988731
70,0,Comedy,38702310,About Last Night...,113,6.2,12307,38702310
71,0,Comedy,27820000,Soul Man,104,5.2,6440,27820000
72,0,Comedy,13431806,One Crazy Summer,93,6.4,11581,13431806
73,0,Comedy,6797218,Trick or Treat,98,5.8,4585,6797218
74,18000000,Comedy,36611610,Gung Ho,112,6.2,9965,18611610
75,0,Crime,25147055,The Morning After,103,6.0,4943,25147055
76,0,Comedy,43579163,Police Academy 3: Back in Training,83,5.2,35443,43579163
77,175000,Comedy,7137502,She's Gotta Have It,84,6.6,5257,6962502
78,0,Comedy,71624879,Ruthless People,93,6.9,22554,71624879
79,8700000,Action,4865912,Band of the Hand,109,6.3,2297,-3834088
80,0,Crime,5186646,52 Pick-Up,110,6.4,3866,5186646
81,0,Drama,31853080,Children of a Lesser God,119,7.2,12538,31853080
82,12000000,Action,15945534,Armed and Dangerous,88,5.6,9040,3945534
83,1100000,Comedy,1436000,Down by Law,107,7.8,39456,336000
84,10000000,Action,20603715,F/X,109,6.7,14502,10603715
85,0,Adventure,13245219,The Adventures of Milo and Otis,90,7.1,9178,13245219
86,0,Comedy,8362969,Something Wild,114,6.9,13186,8362969
87,18000000,Sci-Fi,3900000,The Manhattan Project,117,6.1,4666,-14100000
88,5000000,Horror,12947763,April Fool's Day,89,6.2,11458,7947763
89,25000000,Action,1579260,Solarbabies,94,4.8,3397,-23420740
90,0,Comedy,17685307,The Big Easy,102,6.6,10022,17685307
91,0,Comedy,25587804,Jumpin' Jack Flash,105,5.8,15703,25587804
92,40000000,Adventure,1641825,Piratas,121,6.1,6596,-38358175
93,0,Animation,5274,When the Wind Blows,80,7.8,7900,5274
94,10000000,Comedy,21458229,Tough Guys,104,6.2,5584,11458229
95,0,Drama,206952,Matador,110,7.0,8959,206952
96,0,Action,6637565,Black Moon Rising,100,5.4,4045,6637565
97,12000000,Comedy,7790931,The Best of Times,104,5.9,5523,-4209069
98,2000000,Horror,7369373,Witchboard,98,5.7,4744,5369373
99,14000000,Comedy,62134225,Down and Out in Beverly Hills,103,6.1,13569,48134225
100,8500000,Biography,277646,Lady Jane,136,7.2,5364,-8222354
101,0,Crime,7634909,Quicksilver,105,5.6,3720,7634909
102,0,Animation,5958456,My Little Pony: The Movie,86,6.0,2125,5958456
103,0,Horror,916172,Gothic,87,5.7,5843,916172
104,18000000,Action,1305114,8 Million Ways to Die,115,5.7,3607,-16694886
105,0,Crime,12303904,No Mercy,106,5.7,5564,12303904
106,0,Comedy,8033397,Haunted Honeymoon,82,5.6,5549,8033397
107,0,Comedy,320256,TerrorVision,83,5.7,4620,320256
108,0,Action,3751699,Allan Quatermain and the Lost City of Gold,99,4.4,7491,3751699
109,0,Crime,5794184,Mona Lisa,104,7.4,10747,5794184
110,0,Comedy,32324557,Nothing in Common,118,5.9,5345,32324557
111,8000000,Action,11834302,Firewalker,104,5.0,4752,3834302
112,0,Adventure,483460,Castaway,117,6.0,2649,483460
113,3300000,Comedy,4941117,Vamp,93,5.9,3909,1641117
114,0,Biography,3151,Caravaggio,93,6.7,4072,3151
115,0,Crime,21483,Mauvais Sang,116,7.3,4922,21483
116,0,Drama,4636169,Fire with Fire,103,6.6,1264,4636169
117,15000000,Comedy,12308521,Club Paradise,96,4.9,5049,-2691479
118,40000000,Comedy,49851591,Legal Eagles,116,5.9,8374,9851591
119,0,Comedy,1476356,Clockwise,96,6.6,9689,1476356
120,0,Drama,13418091,Extremities,89,6.3,2705,13418091
121,13000000,Comedy,8475466,Wise Guys,100,5.6,4573,-4524534
122,0,Drama,2444076,The Men's Club,101,4.5,680,2444076
123,0,Drama,4940939,Jean de Florette,120,8.1,20914,4940939
124,0,Drama,2510433,Reform School Girls,94,5.2,1717,2510433
125,0,Drama,3940542,Manon of the Spring,113,8.0,17849,3940542
126,17000000,Adventure,2315683,Shanghai Surprise,97,3.1,4339,-14684317
127,16000000,Drama,3800000,Power,111,5.7,2287,-12200000
128,0,Comedy,604849,Modern Girls,84,5.9,1023,604849
129,20000000,Comedy,22905500,Crimes of the Heart,105,6.4,3079,2905500
130,0,Horror,2278264,Nomads,91,5.5,3006,2278264
131,0,Action,4601256,Eliminators,96,4.5,1422,4601256
132,0,Comedy,2147228,Meatballs III: Summer Job,96,3.3,2003,2147228
133,6000000,Action,9947631,Murphy's Law,100,5.9,3561,3947631
134,0,Musical,2545142,True Stories,90,7.0,3885,2545142
135,0,Comedy,10090429,Under the Cherry Moon,98,4.9,2549,10090429
136,0,Drama,278623,Every Time We Say Goodbye,95,5.9,1834,278623
137,0,Drama,930211,Absolute Beginners,108,5.6,2659,930211
138,0,Drama,3272600,'Round Midnight,133,7.4,4028,3272600
139,4000000,Action,4679650,Avenging Force,104,5.9,1808,679650
140,0,Action,2995527,Bullies,96,5.4,340,2995527
141,0,Adventure,112132,Biggles: Adventures in Time,88,5.8,2243,112132
142,0,Drama,4845724,American Anthem,102,4.0,1284,4845724
143,0,Action,5099316,Out of Bounds,93,5.4,1016,5099316
144,0,Comedy,4781448,My Chauffeur,97,5.6,1426,4781448
145,18000000,Comedy,11957943,Brighton Beach Memoirs,108,6.9,2720,-6042057
146,0,Drama,37455,Summer,98,7.8,4612,37455
147,0,Drama,3136701,The Naked Cage,97,5.5,327,3136701
148,0,Horror,1720450,Link,100,5.9,2080,1720450
149,0,Thriller,1131399,Half Moon Street,90,5.4,2157,1131399
150,0,Drama,441863,"'night, Mother",96,7.6,1840,441863
151,0,Action,6029824,A Fine Mess,90,4.5,1164,6029824
152,0,Comedy,78068,Hardbodies 2,88,2.9,895,78068
153,0,Drama,203781,The Assault,155,7.3,2694,203781
154,0,Comedy,277405,Willy/Milly,86,5.7,323,277405
155,0,Drama,239073,The Ladies Club,85,5.3,154,239073
156,0,Action,140980,Let's Get Harry,102,5.2,978,140980
157,25000000,Adventure,4007250,Tai-Pan,127,5.5,1340,-20992750
158,0,Comedy,2750741,Deadtime Stories,93,4.6,973,2750741
159,17000000,Action,2793214,Heat,101,5.5,1358,-14206786
160,0,Comedy,1254040,Touch and Go,101,5.8,684,1254040
161,0,Biography,275000,The Boy in Blue,100,5.4,907,275000
162,0,Comedy,14205021,Sweet Liberty,106,5.7,2300,14205021
163,0,Comedy,681337,Killer Party,91,4.7,1265,681337
164,0,Drama,537681,Parting Glances,90,7.8,2330,537681
165,0,Animation,8540346,Care Bears Movie II: A New Generation,76,5.3,1760,8540346
166,14000000,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",97,6.3,1288,4034150
167,0,Action,1943751,Jake Speed,100,5.3,632,1943751
